county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Randolph County, Arkansas","17,721","16,684",140,87,75,596,139,850
"St. Francis County, Arkansas","22,501","9,551","12,561",65,127,8,189,589
"Saline County, Arkansas","115,441","98,388","10,414",833,"1,467",71,"4,268","7,975"
"Scott County, Arkansas","9,097","8,210",35,211,278,5,358,739
"Searcy County, Arkansas","7,272","7,123",5,73,20,5,46,556
"Sebastian County, Arkansas","114,077","86,828","8,061","2,890","5,789",105,"10,404","13,722"
"Sevier County, Arkansas","14,051","9,594",578,478,65,248,"3,088","1,788"
"Sharp County, Arkansas","16,336","15,876",118,126,60,20,136,935
"Stone County, Arkansas","11,732","11,488",21,103,30,2,88,627
"Union County, Arkansas","37,436","23,216","12,729",150,280,16,"1,045","1,618"
"Van Buren County, Arkansas","14,951","14,485",77,133,56,0,200,845
"Washington County, Arkansas","220,051","168,351","8,652","3,573","5,718","8,799","24,958","25,820"
"White County, Arkansas","71,724","65,237","3,728",368,623,31,"1,737","5,098"
"Woodruff County, Arkansas","5,951","4,255","1,613",8,22,0,53,318
"Yell County, Arkansas","18,535","15,330",251,197,202,13,"2,542","1,728"
"Alameda County, California","1,491,537","523,836","164,879","19,659","545,261","14,123","223,779","190,816"
"Alpine County, California","1,085",814,10,236,12,0,13,119
"Amador County, California","36,596","31,104","1,236",757,582,82,"2,835","3,878"
"Butte County, California","186,947","149,557","3,644","4,492","10,533",573,"18,148","24,685"
"Calaveras County, California","40,264","36,315",364,747,743,100,"1,995","5,028"
"Colusa County, California","17,580","9,364",198,513,276,80,"7,149","4,259"
"Contra Costa County, California","1,012,452","501,697","101,485","12,043","217,823","6,250","173,154","153,475"
"Del Norte County, California","24,304","17,193",855,"2,434",840,46,"2,936","3,439"
"El Dorado County, California","169,237","146,624","1,537","1,929","9,200",313,"9,634","21,948"
